Year diversity:
1968 0.08 1
1970 0.19093023255813957 172
1971 0.19492462311557793 199
1972 0.20208333333333325 192
1973 0.2090650406504066 246
1974 0.23472049689440988 161
1975 0.19246575342465766 146
1976 0.2044047619047619 84
1977 0.19558593750000003 256
1978 0.21068783068783056 189
1979 0.21647058823529403 187
1980 0.2126600985221675 203
1981 0.18851063829787243 188
1982 0.20036585365853649 246
1983 0.20319727891156458 147
1984 0.23027472527472537 182
1985 0.20201149425287349 174
1986 0.2215183246073299 191
1987 0.21314960629921262 127
1988 0.20461538461538464 195
1989 0.22606060606060593 264
1990 0.22799999999999943 1140
1991 0.20228013029315964 307
1992 0.21782270606531895 643
1993 0.2113181019332163 569
1994 0.21945634266886352 607
1995 0.23341891891891875 740
1996 0.2243264248704662 772
1997 0.21603337612323495 779
1998 0.22912669126691299 813
1999 0.22110683349374377 1039
2000 0.2271262458471762 1204
2001 0.22629934210526279 1216
2002 0.24431090790333118 1531
2003 0.22605937136204898 1718
2004 0.24369852941176517 2720
2005 0.23866336633663615 4646
2006 0.2323661853887703 74039
2007 0.22601294757032164 62560
2008 0.23056453669232974 19609
2009 0.23491055632003538 10174
2010 0.2443622370446422 9745
2011 0.2371125114340925 9839
2012 0.23339794653921334 11298
2013 0.23485880398671577 10836
2014 0.22990993813141222 12769
2015 0.2292418274911436 10156
2016 0.23236221181556332 11104
